路線,区間,本数,駅,状態
京急空港線,京急空港線(羽田空港第1・第2ターミナル〜天空橋),192,羽田空港第1・第2ターミナル 羽田空港第3ターミナル 天空橋,auto_v2
京急空港線,京急空港線(天空橋〜京急蒲田),164,天空橋 穴守稲荷 大鳥居 糀谷 京急蒲田,auto_v2
京急大師線,,133,,auto_v1
京王線,,180,,auto_fail
相模原線,相模原線(調布〜京王よみうりランド),169,調布 京王多摩川 京王稲田堤 京王よみうりランド,auto_v2
相模原線,相模原線(京王よみうりランド〜橋本),116,京王よみうりランド 稲城 若葉台 京王永山 京王多摩センター 京王堀之内 南大沢 多摩境 橋本,auto_v2
高尾線,,106,,auto_v1
競馬場線,,54,,auto_v1
動物園線,,58,,auto_v1
井の頭線,井の頭線(渋谷〜西永福),306,渋谷 神泉 駒場東大前 池ノ上 下北沢 新代田 東松原 明大前 永福町 西永福,auto_v2
井の頭線,井の頭線(西永福〜吉祥寺),192,西永福 浜田山 高井戸 富士見ヶ丘 久我山 三鷹台 井の頭公園 吉祥寺,auto_v2
小田原線,,200,,auto_fail
小田急江ノ島線,小田急江ノ島線(片瀬江ノ島〜藤沢),97,片瀬江ノ島 鵠沼海岸 本鵠沼 藤沢,auto_review
小田急江ノ島線,小田急江ノ島線(藤沢〜鶴間),174,藤沢 藤沢本町 善行 六会日大前 湘南台 長後 高座渋谷 桜ヶ丘 大和 鶴間,auto_review
小田急江ノ島線,小田急江ノ島線(鶴間〜南林間),115,鶴間 南林間,auto_review
小田急江ノ島線,小田急江ノ島線(南林間〜中央林間),133,南林間 中央林間,auto_review
小田急江ノ島線,小田急江ノ島線(中央林間〜東林間),171,中央林間 東林間,auto_review
小田急江ノ島線,小田急江ノ島線(東林間〜相模大野),115,東林間 相模大野,auto_review
多摩線,,117,,auto_v1
東横線,,200,,auto_fail
目黒線,目黒線(目黒〜不動前),263,目黒 不動前,auto_v2
目黒線,目黒線(不動前〜田園調布),195,不動前 武蔵小山 西小山 洗足 大岡山 奥沢 田園調布,auto_v2
田園都市線,田園都市線(渋谷〜二子新地),284,渋谷 池尻大橋 三軒茶屋 駒沢大学 桜新町 用賀 二子玉川 二子新地,auto_review
田園都市線,田園都市線(二子新地〜高津),186,二子新地 高津,auto_review
田園都市線,田園都市線(高津〜梶が谷),316,高津 溝の口 梶が谷,auto_review
田園都市線,田園都市線(梶が谷〜中央林間),191,梶が谷 宮崎台 宮前平 鷺沼 たまプラーザ あざみ野 江田 市が尾 藤が丘 青葉台 田奈 長津田 つくし野 すずかけ台 南町田グランベリーパーク つきみ野 中央林間,auto_review
大井町線,大井町線(大井町〜下神明),260,大井町 下神明,auto_v2
大井町線,大井町線(下神明〜二子玉川),197,下神明 戸越公園 中延 荏原町 旗の台 北千束 大岡山 緑が丘 自由が丘 九品仏 尾山台 等々力 上野毛 二子玉川,auto_v2
池上線,,209,,auto_v1
東急多摩川線,,190,,auto_v1
世田谷線,,173,,auto_v1
こどもの国線,,72,,auto_v1
東急新横浜線,,171,,auto_v1
西武池袋線,,180,,auto_fail
西武新宿線,西武新宿線(本川越〜武蔵関),139,本川越 南大塚 新狭山 狭山市 入曽 新所沢 航空公園 所沢 東村山 久米川 小平 花小金井 田無 西武柳沢 東伏見 武蔵関,auto_review
西武新宿線,西武新宿線(武蔵関〜都立家政),266,武蔵関 上石神井 上井草 井荻 下井草 鷺ノ宮 都立家政,auto_review
西武新宿線,西武新宿線(都立家政〜下落合),128,都立家政 野方 沼袋 新井薬師前 中井 下落合,auto_review
西武新宿線,西武新宿線(下落合〜西武新宿),295,下落合 高田馬場 西武新宿,auto_review
西武秩父線,西武秩父線(西武秩父〜横瀬),51,西武秩父 横瀬,auto_v2
西武秩父線,西武秩父線(横瀬〜吾野),35,横瀬 芦ヶ久保 正丸 西吾野 吾野,auto_v2
拝島線,拝島線(小平〜玉川上水),113,小平 萩山 小川 東大和市 玉川上水,auto_v2
拝島線,拝島線(玉川上水〜拝島),92,玉川上水 武蔵砂川 西武立川 拝島,auto_v2
多摩湖線,多摩湖線(国分寺〜萩山),109,国分寺 一橋学園 青梅街道 萩山,auto_v2
多摩湖線,多摩湖線(萩山〜多摩湖),83,萩山 八坂 武蔵大和 多摩湖,auto_v2
西武多摩川線,,90,,auto_v1
国分寺線,,70,,auto_fail
西武山口線,,42,,auto_v1
狭山線,,69,,auto_v1
西武園線,,64,,auto_v1
西武有楽町線,西武有楽町線(小竹向原〜新桜台),142,小竹向原 新桜台,auto_v2
西武有楽町線,西武有楽町線(新桜台〜練馬),128,新桜台 練馬,auto_v2
豊島線,,77,,auto_v1
東武伊勢崎線,,200,,auto_fail
東武東上線,,180,,auto_fail
東武日光線,東武日光線(東武動物公園〜南栗橋),79,東武動物公園 杉戸高野台 幸手 南栗橋,auto_v2
東武日光線,東武日光線(南栗橋〜栗橋),54,南栗橋 栗橋,auto_v2
東武日光線,東武日光線(栗橋〜柳生),48,栗橋 新古河 柳生,auto_v2
東武亀戸線,,115,,auto_v1
東武大師線,,110,,auto_v1
東武越生線,,73,,auto_v1
相鉄本線,相鉄本線(横浜〜平沼橋),246,横浜 平沼橋,auto_v2
相鉄本線,相鉄本線(平沼橋〜海老名),143,平沼橋 西横浜 天王町 星川 和田町 上星川 西谷 鶴ヶ峰 二俣川 希望ヶ丘 三ツ境 瀬谷 大和 相模大塚 さがみ野 かしわ台 海老名,auto_v2
相鉄いずみ野線,,122,,auto_v1
相鉄新横浜線,相鉄新横浜線(西谷〜羽沢横浜国大),148,西谷 羽沢横浜国大,auto_v2
